sha,title,reason,type,confidence,commit_url,pr_url,repo_id,repo_name,full_name,is_self_affirmed,label1,label2,conflict?,3rd label,Note,Final human label,ChatGPT label,conflict_betw_human_and_chatgpt
f9adbb5cef7c5590f425edbcba56fda78d60c01f,Refactor repeated logic into utilities,"The commit focuses on refactoring repeated logic into reusable utilities, which directly addresses duplicated code by unifying it into common methods and classes to avoid repetition.",duplication,9,https://github.com/anestistsio/QuizApp/commit/f9adbb5cef7c5590f425edbcba56fda78d60c01f,https://github.com/anestistsio/QuizApp/pull/14,639804832,anestistsio/QuizApp,anestistsio/QuizApp,TRUE,duplication,repurpose_reuse,Conflict,duplication,,duplication,duplication,No
f88cce081c4a66dded2aa190e376fd3a9e52d736,Add bounds checks for array deserialisation,"The commit focuses on adding bounds checks and refactoring array handling to use element count instead of length, which improves the correctness and robustness of the code logic, addressing potential logical errors in array deserialization.",logical_mismatch,8,https://github.com/OpenHFT/Chronicle-Bytes/commit/f88cce081c4a66dded2aa190e376fd3a9e52d736,https://github.com/OpenHFT/Chronicle-Bytes/pull/687,31261671,OpenHFT/Chronicle-Bytes,OpenHFT/Chronicle-Bytes,TRUE,logical_mismatch,maintainability,Conflict,readability,Just rename,readability,logical_mismatch,Conflict
f2d933fc00211168f8af51f3e97ed35c604c98e3,13082-refactor-duplicate-query-logic-in-auditeventcontroller-config-option-methods,"The commit focuses on refactoring to remove duplicate query logic in audit event controller methods, indicating the primary motivation is to address code duplication by unifying repeated code segments.",duplication,9,https://github.com/hmislk/hmis/commit/f2d933fc00211168f8af51f3e97ed35c604c98e3,https://github.com/hmislk/hmis/pull/13085,21764480,hmislk/hmis,hmislk/hmis,TRUE,duplication,duplication,No,,,duplication,duplication,No
eb3c3db128de5952013e03fde6422c0ba3ac15b0,Replace backend RestTemplate call with ProcessBuilder,"The commit replaces a backend RestTemplate call with a ProcessBuilder to run a local Python process, indicating a change in the approach to reuse or repurpose existing code for integration with a local Python script rather than a remote call. This suggests the primary motivation is to improve repurposing or reuse of code rather than addressing readability, duplication, or other issues.",repurpose_reuse,8,https://github.com/vioai/testly/commit/eb3c3db128de5952013e03fde6422c0ba3ac15b0,https://github.com/vioai/testly/pull/20,999161450,vioai/testly,vioai/testly,TRUE,maintainability,dependency,Conflict,legacy_code,,legacy_code,repurpose_reuse,Conflict
e45de01467c5b83e2f70c4b83ad85d3b3a4aa1fc,Unify search view layout,"The commit focuses on refactoring search views to share a common layout by extracting a superclass and pulling up attributes and methods, which reduces code duplication and improves maintainability. The primary motivation appears to be reducing duplication by unifying similar code structures.",duplication,8,https://github.com/licontera345/RentExpresGUI/commit/e45de01467c5b83e2f70c4b83ad85d3b3a4aa1fc,https://github.com/licontera345/RentExpresGUI/pull/22,1002896084,licontera345/RentExpresGUI,licontera345/RentExpresGUI,TRUE,duplication,repurpose_reuse,Conflict,duplication,,duplication,duplication,No
dbd9bff2f1ac1e11d975612b32e01a88316f6b53,Implement reusable copy methods,"The commit introduces reusable copy methods and refactors loaders, indicating an effort to improve code reuse and repurpose existing code components rather than addressing readability, duplication, or other issues.",repurpose_reuse,8,https://github.com/lauri0/mesozoic-arena/commit/dbd9bff2f1ac1e11d975612b32e01a88316f6b53,https://github.com/lauri0/mesozoic-arena/pull/67,1017861753,lauri0/mesozoic-arena,lauri0/mesozoic-arena,TRUE,repurpose_reuse,maintainability,Conflict,repurpose_reuse,,repurpose_reuse,repurpose_reuse,No
daaf02ee135d63096800491cec100edd5e3903c5,Add transaction logging for purchases and star changes,"The commit involves refactoring related to transaction table management, including changing method access modifiers and renaming methods and parameters, which typically improves code structure and maintainability rather than addressing performance, duplication, or logical errors.",maintainability,8,https://github.com/AddstarMC/Swaparoo/commit/daaf02ee135d63096800491cec100edd5e3903c5,https://github.com/AddstarMC/Swaparoo/pull/3,928219404,AddstarMC/Swaparoo,AddstarMC/Swaparoo,TRUE,maintainability,hard_to_debug,Conflict,maintainability,,maintainability,maintainability,No
da9e7b18ccb19d460f63bf37212841e69c1e2746,[BOT] refactor(rename): update Background fields and methods,"The commit focuses on renaming fields and methods to deobfuscate the code, which primarily improves the understandability and clarity of the code, thus enhancing readability.",readability,8,https://github.com/Ddemon26/2006Scape/commit/da9e7b18ccb19d460f63bf37212841e69c1e2746,https://github.com/Ddemon26/2006Scape/pull/41,1009802329,Ddemon26/2006Scape,Ddemon26/2006Scape,TRUE,readability,readability,No,,,readability,readability,No
da0ee870a51b5b93ac0b00e2e51701af9fa82229,Migrate to Spring Boot project,"The commit involves migrating to a Spring Boot project and cleaning up code, which typically addresses modernization and improving the structure of older codebases. This aligns with working on legacy code that needs modernization.",legacy_code,8,https://github.com/Nanu-star/ChickenTest/commit/da0ee870a51b5b93ac0b00e2e51701af9fa82229,https://github.com/Nanu-star/ChickenTest/pull/2,344590131,Nanu-star/ChickenTest,Nanu-star/ChickenTest,TRUE,legacy_code,legacy_code,No,,,legacy_code,legacy_code,No
d2de7ac5b9dbd8679694dbc95b0ebddf667dc834,Update CommandLineSWT list output,"The commit involves refactoring operations such as changing variable types, extracting variables, and renaming variables to improve the structure of the code that builds JSON output. These changes primarily enhance the clarity and understandability of the code, indicating an improvement in readability.",readability,8,https://github.com/cromoteca/bfts/commit/d2de7ac5b9dbd8679694dbc95b0ebddf667dc834,https://github.com/cromoteca/bfts/pull/8,162004840,cromoteca/bfts,cromoteca/bfts,TRUE,readability,readability,No,,,readability,readability,No
